ID,position,base_type,control_coverage,control_misC,control_C_reads,control_T_reads,treatment_coverage,treatment_misC,treatment_C_reads,treatment_T_reads
MALAT1_F,33,T,405.0,0.0,0.0,405.0,796.0,0.0,0.0,796.0
MALAT1_F,39,T,592.0,0.0,0.0,592.0,1162.0,0.0025817555938037,3.0000000000000004,1159.0
MALAT1_F,40,T,612.0,0.1290849673202614,79.00000000000001,533.0,1199.0,0.1042535446205171,125.0,1074.0
MALAT1_F,41,T,717.0,0.0111576011157601,8.0,709.0,1430.0,0.0167832167832167,24.0,1406.0
MALAT1_F,43,T,881.0,0.003405221339387,3.0,878.0,1792.0,0.0072544642857142,13.0,1779.0
MALAT1_F,46,T,1096.0,0.0018248175182481,2.0,1094.0,2189.0,0.0009136592051164,2.0,2187.0
MALAT1_F,53,T,1112.0,0.0575539568345323,64.0,1048.0,2231.0,0.0582698341550874,130.0,2101.0
MALAT1_F,54,T,1122.0,0.1301247771836007,146.0,976.0,2252.0,0.0630550621669627,142.0,2110.0
MALAT1_F,58,T,1152.0,0.0034722222222222,4.0,1148.0,2384.0,0.0050335570469798,12.0,2372.0
MALAT1_F,65,T,1158.0,0.0129533678756476,14.999999999999998,1143.0,2416.0,0.0244205298013245,59.0,2357.0
MALAT1_F,66,T,1160.0,0.0189655172413793,22.0,1138.0,2421.0,0.0194134655101197,47.0,2374.0
MALAT1_F,67,T,1163.0,0.0111779879621668,13.0,1150.0,2437.0,0.0094378334017234,23.0,2414.0
MALAT1_F,73,T,1164.0,0.0042955326460481,5.0,1159.0,2446.0,0.0040883074407195,10.0,2436.0
MALAT1_F,74,T,1165.0,0.0034334763948497,4.0,1161.0,2446.0,0.0012264922322158,3.0,2443.0
MALAT1_F,81,T,1165.0,0.0,0.0,1165.0,2447.0,0.0,0.0,2447.0
MALAT1_F,82,T,1165.0,0.0068669527896995,8.0,1157.0,2447.0,0.0069472823865958,17.0,2430.0
MALAT1_F,83,T,1165.0,0.0618025751072961,72.0,1093.0,2448.0,0.0477941176470588,117.0,2331.0
MALAT1_F,84,T,1165.0,0.0832618025751072,97.0,1068.0,2448.0,0.0645424836601307,158.00000000000003,2290.0
MALAT1_F,85,T,1165.0,0.0094420600858369,11.0,1154.0,2448.0,0.0179738562091503,44.0,2404.0
MALAT1_F,89,T,1165.0,0.0377682403433476,44.0,1121.0,2448.0,0.0510620915032679,125.0,2323.0
MALAT1_F,96,T,1165.0,0.0128755364806866,15.0,1150.0,2448.0,0.031454248366013,77.0,2371.0
MALAT1_F,97,T,1165.0,0.0781115879828326,91.0,1074.0,2448.0,0.0620915032679738,152.0,2296.0
MALAT1_F,98,T,1165.0,0.0326180257510729,38.0,1127.0,2448.0,0.0249183006535947,61.00000000000001,2387.0
MALAT1_F,99,T,1165.0,0.1339055793991416,156.0,1009.0,2448.0,0.1213235294117647,297.0,2151.0
MALAT1_F,100,T,1165.0,0.0549356223175965,64.0,1101.0,2448.0,0.040032679738562,98.0,2350.0
MALAT1_F,105,T,1165.0,0.0008583690987124,1.0,1164.0,2448.0,0.0024509803921568,6.0,2442.0
MALAT1_F,106,T,1165.0,0.0549356223175965,64.0,1101.0,2448.0,0.0020424836601307,5.0,2443.0
MALAT1_F,108,T,1165.0,0.3708154506437768,432.0,733.0,2448.0,0.0073529411764705,18.0,2430.0
MALAT1_F,114,T,1165.0,0.0060085836909871,7.0,1158.0,2448.0,0.0106209150326797,26.0,2422.0
MALAT1_F,115,T,1165.0,0.0137339055793991,16.0,1149.0,2448.0,0.0102124183006535,25.0,2423.0
MALAT1_F,117,T,1165.0,0.0678111587982832,78.99999999999999,1086.0,2448.0,0.0510620915032679,125.0,2323.0
MALAT1_F,118,T,1165.0,0.0188841201716738,22.0,1143.0,2448.0,0.0208333333333333,51.0,2397.0
MALAT1_F,121,T,1165.0,0.0008583690987124,1.0,1164.0,2448.0,0.0012254901960784,3.0,2445.0
MALAT1_F,123,T,1165.0,0.0025751072961373,3.0,1162.0,2448.0,0.0024509803921568,6.0,2442.0
MALAT1_F,128,T,1165.0,0.0042918454935622,5.0,1160.0,2448.0,0.0032679738562091,8.0,2440.0
MALAT1_F,129,T,1165.0,0.0042918454935622,5.0,1160.0,2448.0,0.0053104575163398,13.0,2435.0
MALAT1_F,133,T,1165.0,0.0008583690987124,1.0,1164.0,2448.0,0.0,0.0,2448.0
MALAT1_F,136,T,1165.0,0.0051502145922746,6.0,1159.0,2448.0,0.0044934640522875,11.0,2437.0
MALAT1_F,141,T,1165.0,0.0094420600858369,11.0,1154.0,2447.0,0.0220678381691867,53.99999999999999,2393.0
MALAT1_F,144,T,1164.0,0.0,0.0,1164.0,2444.0,0.0008183306055646,2.0,2442.0
MALAT1_F,149,T,1150.0,0.0113043478260869,13.0,1137.0,2419.0,0.0119884249689954,29.0,2390.0
MALAT1_F,150,T,1149.0,0.0034812880765883,4.0,1145.0,2416.0,0.0024834437086092,6.0,2410.0
MALAT1_F,154,T,1149.0,0.0322019147084421,37.0,1112.0,2411.0,0.0223973454997926,54.0,2357.0
MALAT1_F,163,T,1141.0,0.0070113935144609,8.0,1133.0,2404.0,0.0083194675540765,20.0,2384.0
MALAT1_F,164,T,1137.0,0.0149516270888302,17.0,1120.0,2397.0,0.0196078431372549,47.0,2350.0
MALAT1_F,165,T,1135.0,0.0017621145374449,2.0,1133.0,2391.0,0.001254705144291,3.0,2388.0
MALAT1_F,169,T,1112.0,0.0107913669064748,12.0,1100.0,2357.0,0.0097581671616461,23.0,2334.0
MALAT1_F,171,T,1068.0,0.0430711610486891,46.0,1022.0,2254.0,0.0408163265306122,92.0,2162.0
MALAT1_F,172,T,1052.0,0.1330798479087452,140.0,912.0,2228.0,0.1404847396768402,313.0,1915.0
MALAT1_F,173,T,1047.0,0.1155682903533906,121.0,926.0,2211.0,0.0949796472184531,210.0,2001.0
MALAT1_F,178,T,1012.0,0.0118577075098814,12.0,1000.0,2166.0,0.0133887349953831,29.0,2137.0
